NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length,Suffrating,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
16224,114,Missouri ,Boone,'PERCHE CR TRIB,'DRISKEL RD,'S 29 T 49 N R 13 W,1985,2000,0.6,8.8,Steel,Culvert (includes frame culverts),,"Local, Rural",291279
16423,119,Missouri ,Boone,'TRIB OF SLACKS BR,'O'NEAL RD,'S 15 T 49 N R 13 W,1980,2000,1.1,8.2,Prestressed concrete*,Tee Beam,,"Local, Rural",291447
16472,122,Missouri ,Boone,'ROCK FK,'CREASY SPRINGS RD,'S 22 T 49 N R 13 W,1970,2014,2.1,8.06,Concrete,Box Beam or Girders - Multiple,,"Local, Rural",291489
16589,126,Missouri ,Boone,'TRIB TO BEAR CR,'O'NEAL RD,'S 34 T 49 N R 13 W,1981,2000,3.1,8.29,Prestressed concrete*,Tee Beam,,"Local, Rural",291581
16746,131,Columbia ,Boone,'BEAR CR,'OAKLAND GRAVEL RD,'S 19 T 49 N R 12 W,1988,2000,0.8,9.68,Concrete,Culvert (includes frame culverts),,"Local, Rural",291715
16827,134,Columbia ,Boone,'CLAY'S FK,'WAGON TRAIL RD,'S 18 T 49 N R 12 W,1976,2000,1.1,9.14,Concrete,Channel Beam,,"Local, Rural",291781
17056,141,Columbia ,Boone,'CLAY'S FK,'BOATMAN HILL RD,'S 8 T 49 N R 12 W,1986,2000,1,10,Steel,Culvert (includes frame culverts),,"Local, Rural",291971
17094,142,Columbia ,Boone,'CLAY'S FK,'CLAY'S FORK RD,'S 7 T 49 N R 12 W,1982,2000,1.6,7.78,Prestressed concrete*,Tee Beam,,"Local, Rural",292003
17193,145,Columbia ,Boone,'ROCKY FK CR,'CALVERT HILL RD,'S 12 T 49 N R 12 W,1970,2000,2.5,6.5,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Rural",292084
17355,150,Rocky Fork ,Boone,'ROCKY FK CR,'CREEKLAND DR,'S 36 T 49 N R 12 W,1982,2000,3.1,9.2,Prestressed concrete*,Tee Beam,,"Local, Rural",292216
17378,150,Rocky Fork ,Boone,'ROCKY FK CR,'CREEKLAND DR,'S 1 T 49 N R 13 W,1982,2000,3.1,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",292237
17434,152,Rocky Fork ,Boone,'BR OF ROCKY FK,'PEABODY HAUL RD,'S 36 T 49 N R 12 W,1999,2000,0.6,10,Steel,Culvert (includes frame culverts),,"Local, Rural",292285
17726,161,Rocky Fork ,Boone,'KELLEY BR CR,'BARNES SCHOOL RD,'S 9 T 50 N R 12 W,1981,2000,1.6,8.77,Prestressed concrete*,Tee Beam,,"Local, Rural",292531
17762,162,Rocky Fork ,Boone,'KELLEY BR CR,'TUCKER SCHOOL RD,'S 8 T 50 N R 12 W,1981,2000,2.5,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",292557
17799,163,Rocky Fork ,Boone,'SILVER FORK CR,'PINNACLES RD,'S 12 T 50 N R 12 W,1975,2000,3,5.49,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",292583
17861,165,Rocky Fork ,Boone,'SILVER FK CR,'BREEDLOVE DR,'S 6 T 50 N R 12 W,1980,2000,2.8,9.05,Prestressed concrete*,Tee Beam,,"Local, Rural",292633
18399,186,Centralia ,Boone,'LITTLE CR,'LOST WOODS LANE,'S 25 T 51 N R 12 W,1980,2000,1.1,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",293070
1874,63,Columbia ,Boone,'GANS CR,'US 63 N,'S 33 T 48 N R 12 W,1968,2000,4.1,9.94,Concrete continuous,Slab,,"Principal Arterial - Other Freeways, Urban",293343
1875,63,Cedar ,Boone,'BONNE FEMME CR,'US 63 N,'S 3 T 47 N R 12 W,1968,2000,4.5,9.74,Concrete continuous,Slab,,"Principal Arterial - Other, Rural",293349
19613,227,Centralia ,Boone,'YOUNGS CR,'GANO CHANCE RD,'S 23 T 51 N R 11 W,1950,2000,1.9,6.85,Steel,Truss - Thru,,"Local, Rural",294072
19789,234,Centralia ,Boone,'SILVER FK CR,'BALL RD,'S 30 T 51 N R 11 W,1970,2000,1,7.88,Concrete,Culvert (includes frame culverts),,"Local, Rural",294207
19902,239,Rocky Fork ,Boone,'SILVER FK CR,'KROEGER RD,'S 4 T 50 N R 11 W,1970,2000,1,8.88,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",294304
19948,241,Centralia ,Boone,'SILVER FK CR,'ROBERTS LANE,'S 33 T 51 N R 11 W,1982,2000,1.6,8.88,Prestressed concrete*,Tee Beam,,"Local, Rural",294339
20094,245,Centralia ,Boone,'YOUNGS CR,'RANGE LINE RD,'S 26 T 51 N R 11 W,1915,1986,1,10,Concrete,Culvert (includes frame culverts),,"Local, Rural",294455
20581,265,Rocky Fork ,Boone,'TRIB TO CEDAR CR,'REMIE RD,'S 34 T 50 N R 11 W,1986,2000,0.9,10,Steel,Culvert (includes frame culverts),,"Local, Rural",294866
2064,AC,Columbia ,Boone,'US 63,'RT AC E,'S 29 T 48 N R 12 W,1968,2000,6.9,6.9,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",294912
20711,271,Rocky Fork ,Boone,'HINKSON CR,'LOW CROSSING RD,'S 25 T 50 N R 12 W,1982,2000,1.6,8.78,Prestressed concrete*,Tee Beam,,"Local, Rural",294971
20802,275,Rocky Fork ,Boone,'VERNON BR CR,'MT ZION CHURCH RD,'S 36 T 50 N R 12 W,1930,1986,0.9,7.3,Steel,Culvert (includes frame culverts),Structurally Deficient,"Local, Rural",295052
20859,275,Rocky Fork ,Boone,'HINKSON CR,'SPIVA CROSSING RD,'S 1 T 49 N R 12 W,1982,2000,2.8,9.06,Prestressed concrete*,Tee Beam,,"Local, Rural",295098
21010,285,Columbia ,Boone,'TRIB TO CEDAR CR,'DURK RD,'S 10 T 49 N R 11 W,1982,2000,1.1,9.32,Prestressed concrete*,Tee Beam,,"Local, Rural",295233
21039,286,Rocky Fork ,Boone,'CEDAR CR,'ZARING RD,'S 15 T 49 N R 11 W,1992,2000,2.6,9.9,Prestressed concrete*,Tee Beam,,"Local, Rural",295259
21132,291,Columbia ,Boone,'TRIB TO HINKSON CR,'KIRCHER RD,'S 13 T 49 N R 12 W,1981,2000,1.7,7.98,Prestressed concrete*,Tee Beam,,"Local, Rural",295337
21211,295,Columbia ,Boone,'TRIB TO HINKSON CR,'HELLER RD,'S 15 T 49 N R 12 W,1970,2000,1.2,9.5,Concrete,Channel Beam,,"Local, Rural",295400
21228,296,Columbia ,Boone,'HINKSON CR,'ROGERS RD,'S 15 T 49 N R 12 W,1981,2000,3.1,8.39,Prestressed concrete*,Tee Beam,,"Local, Rural",295411
21287,299,Columbia ,Boone,'HINKSON CR,'HINKSON CREEK RD,'S 27 T 49 N R 12 W,1981,2000,3.1,8.39,Prestressed concrete*,Tee Beam,,"Local, Rural",295461
21323,301,Columbia ,Boone,'NELSON CR,'WYATT LANE,'S 27 T 49 N R 12 W,1970,2000,1.1,9.04,Concrete,Channel Beam,Functionally Obsolete,"Local, Rural",295492
21388,304,Columbia ,Boone,'HOMINY BR,'LAKE OF WOODS RD,'S 2 T 48 N R 12 W,1986,2000,0.8,8.58,Steel,Culvert (includes frame culverts),,"Local, Rural",295547
21453,307,Columbia ,Boone,'HOMINY BR,'MEXICO GRAVEL RD,'S 35 T 49 N R 12 W,1970,2000,1.4,5.34,Concrete,Channel Beam,Structurally Deficient,"Major Collector, Rural",295597
21582,312,Columbia ,Boone,'CEDAR CR,'JUDY SCHOOL RD,'S 22 T 49 N R 11 W,1920,1986,2.8,7.78,Prestressed concrete*,Tee Beam,,"Local, Rural",295698
21626,315,Columbia ,Boone,'LIT CEDAR CR,'MEXICO GRAVEL RD,'S 29 T 49 N R 11 W,1981,2000,1.6,8.88,Prestressed concrete*,Tee Beam,,"Local, Rural",295736
21663,317,Columbia ,Boone,'CEDAR CR,'ST CHARLES RD,'S 3 T 48 N R 11 W,1986,2000,3.1,9.9,Prestressed concrete*,Tee Beam,,"Local, Rural",295759
21761,322,Columbia ,Boone,'LIT CEDAR CR,'CARTER SCHOOL RD,'S 8 T 48 N R 11 W,1981,2000,2.5,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",295845
21830,326,Columbia ,Boone,'S FK GRINDSTONE CR,'OLIVET RD,'S 13 T 48 N R 12 W,1970,2002,1.1,9.41,Concrete,Channel Beam,,"Local, Rural",295904
21853,327,Columbia ,Boone,'N FK GRINDSTONE CR,'RICHLAND RD,'S 15 T 48 N R 12 W,1970,2000,1.4,7.57,Concrete,Channel Beam,,"Local, Rural",295922
21904,329,Missouri ,Boone,'MILL CR,'SCOTT'S BLVD,'S 32 T 48 N R 13 W,1970,2000,1.3,5.76,Steel,Stringer/Multi-beam or Girder,Structurally Deficient,"Local, Rural",295964
21932,331,Columbia ,Boone,'N FK GRINDSTONE CR,'RUSTIC RD,'S 16 T 48 N R 12 W,1930,1950,0.9,0.4,Steel,Girder and Floorbeam System,Structurally Deficient,"Local, Rural",295987
22048,,Cedar ,Boone,'BONNE FEMME CR,'RANGELINE RD,'S 7 T 48 N R 11 W,1983,2000,0.7,8.98,Steel,Culvert (includes frame culverts),,"Local, Rural",296085
22111,341,Columbia ,Boone,'GANS CR,'OLIVET RD,'S 23 T 48 N R 12 W,1970,2000,1,6.85,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",296136
22182,343,Columbia ,Boone,'GANS CR,'NEW HAVEN RD,'S 27 T 48 N R 12 W,1970,2000,1.3,7.73,Concrete,Channel Beam,,"Local, Rural",296198
22214,346,Columbia ,Boone,'GANS CR,'SUGAR GROVE RD,'S 27 T 48 N R 12 W,1965,2000,1,9.49,Concrete,Channel Beam,,"Local, Rural",296216
22311,349,Columbia ,Boone,'TRIB TO GANS CR,'BEN WILLIAMS RD,'S 25 T 48 N R 12 W,1970,2000,0.9,8.8,Concrete,Channel Beam,,"Local, Rural",296296
22840,377,Cedar ,Boone,'BRUSHY CR,'CLATTERBUCK RD,'S 7 T 46 N R 11 W,1981,2000,1.6,8.88,Prestressed concrete*,Tee Beam,,"Local, Rural",296705
23001,385,Cedar ,Boone,'CEDAR CR,'BURNETT SCHOOL RD,'S 29 T 46 N R 11 W,1910,1991,4.5,1.64,Steel,Truss - Thru,Structurally Deficient,"Local, Rural",296844
23053,387,Cedar ,Boone,'FOWLER CR,'GILMORE LANE,'S 36 T 46 N R 12 W,1981,2000,3.1,7.63,Prestressed concrete*,Tee Beam,Functionally Obsolete,"Local, Rural",296888
23188,395,Cedar ,Boone,'SLATE CR,'HARTSBURG BOTTM R,'S 16 T 45 N R 12 W,1981,2000,2.8,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",297007
23199,395,Cedar ,Boone,'SMALL STR,'HARTSBURG BOTTM R,'S 23 T 45 N R 12 W,1982,2000,1.7,8.69,Prestressed concrete*,Tee Beam,,"Local, Rural",297017
23218,396,Cedar ,Boone,'SMALL STR,'MT PLEASANT RD,'S 15 T 45 N R 12 W,1982,2000,1.3,9.37,Prestressed concrete*,Tee Beam,,"Local, Rural",297029
23220,396,Cedar ,Boone,'SLATE CR,'GIESING HILL RD,'S 22 T 45 N R 12 W,1981,2000,1.1,5.47,Prestressed concrete*,Tee Beam,Functionally Obsolete,"Local, Rural",297032
23275,399,Cedar ,Boone,'SLATE CR,'SOFT PIT HILL RD,'S 16 T 45 N R 12 W,1982,2000,2.8,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",297074
23280,400,Cedar ,Boone,'HART CR,'HART CREEK RD,'S 6 T 45 N R 12 W,1983,2000,2.7,9.26,Prestressed concrete*,Tee Beam,,"Local, Rural",297080
23294,401,Cedar ,Boone,'HART CR,'HARTSBURG BOTTM R,'S 18 T 45 N R 12 W,1930,2000,2.5,3.82,Steel,Truss - Thru,Structurally Deficient,"Local, Rural",297092
23328,403,Cedar ,Boone,'HART CR,'RIVER RD,'S 7 T 45 N R 12 W,1980,2000,2.5,9.3,Prestressed concrete*,Tee Beam,,"Local, Rural",297120
2336,63,Cedar ,Boone,'TURKEY CR,'US 63 N,'S 14 T 47 N R 12 W,1973,2000,4,9.43,Concrete continuous,Slab,,"Principal Arterial - Other, Rural",297147
23365,406,Cedar ,Boone,'JAMERSON CR,'JEMERSON CREEK RD,'S 31 T 46 N R 12 W,1982,2000,1.1,9.22,Prestressed concrete*,Tee Beam,,"Local, Rural",297151
23379,,Cedar ,Boone,'JAMERSON CR,'JEMERSON CREEK RD,'S 6 T 45 N R 12 W,1982,2000,4.6,9.2,Prestressed concrete*,Tee Beam,,"Local, Rural",297163
23553,415,Cedar ,Boone,'GLASCOCK BR,'CEDAR TREE LANE,'S 26 T 46 N R 13 W,1980,2000,1.6,7.52,Prestressed concrete*,Tee Beam,Functionally Obsolete,"Local, Rural",297307
23595,418,Cedar ,Boone,'FOX HOLLOW BR,'HAROLD CUNNINGHAM,'S 2 T 46 N R 13 W,1981,2000,2.5,9.4,Prestressed concrete*,Tee Beam,,"Local, Rural",297340
23622,420,Cedar ,Boone,'FOX HOLLOW BR,'FOX HOLLOW RD,'S 12 T 46 N R 13 W,1986,2000,0.9,10,Steel,Culvert (includes frame culverts),,"Local, Rural",297361
23649,422,Cedar ,Boone,'BONNE FEMME CR,'RIPPETO RD,'S 10 T 46 N R 13 W,1981,2000,4.6,9.3,Prestressed concrete*,Tee Beam,,"Local, Rural",297382
23678,424,Cedar ,Boone,'BONNE FEMME CR,'ANDREW SAPP RD,'S 35 T 47 N R 13 W,1981,2000,5.5,7.91,Prestressed concrete*,Tee Beam,,"Local, Rural",297407
23808,434,Cedar ,Boone,'TRIB BONNE FEMME C,'NASHVILLE CHRCH R,'S 25 T 47 N R 13 W,1980,2000,1.1,9.15,Prestressed concrete*,Tee Beam,,"Local, Rural",297512
23812,434,Cedar ,Boone,'BONNE FEMME CR,'NASHVILLE CHRCH R,'S 25 T 47 N R 13 W,1980,2000,4.2,9.05,Prestressed concrete*,Tee Beam,,"Local, Rural",297516
23985,448,Cedar ,Boone,'GANS CR,'GAN'S CREEK RD,'S 4 T 47 N R 12 W,1981,2000,2.5,9.2,Prestressed concrete*,Tee Beam,,"Local, Rural",297652
24004,450,Cedar ,Boone,'CLEAR CR,'BEARFIELD RD,'S 31 T 48 N R 12 W,1986,2000,0.8,9.9,Steel,Culvert (includes frame culverts),,"Local, Rural",297668
24037,451,Cedar ,Boone,'CLEAR CR,'ROCK QUARRY RD,'S 31 T 48 N R 12 W,1981,2000,1.4,7.29,Prestressed concrete*,Tee Beam,,"Local, Rural",297700
24139,460,Cedar ,Boone,'SMALL STR,'OLD PLANK RD,'S 2 T 47 N R 13 W,1986,2000,0.6,8.9,Steel,Culvert (includes frame culverts),,"Local, Rural",297786
24236,467,Cedar ,Boone,'MILL CR,'OLD MILL CREEK RD,'S 33 T 48 N R 13 W,1980,2000,1.4,6.79,Prestressed concrete*,Tee Beam,,"Local, Rural",297862
24260,471,Missouri ,Boone,'TRIB TO PERCHE CR,'OLD COAT'S LANE,'S 30 T 48 N R 13 W,1970,2000,0.7,9.8,Concrete,Channel Beam,,"Local, Rural",297878
24282,472,Missouri ,Boone,'PERCHE CR,'GILLESPIE BR RD,'S 20 T 48 N R 13 W,1965,2000,6.5,6.1,Steel continuous,Stringer/Multi-beam or Girder,,"Local, Rural",297892
24316,476,Missouri ,Boone,'SUGAR BR,'WEHMEYER RD,'S 12 T 48 N R 14 W,1981,2000,1.7,8.79,Prestressed concrete*,Tee Beam,,"Local, Rural",297921
24469,497,Cedar ,Boone,'LIT BONNE FEMME CR,'WOODIE PROCTOR RD,'S 22 T 47 N R 13 W,1980,2000,3.1,8.15,Prestressed concrete*,Tee Beam,Functionally Obsolete,"Local, Rural",298042
24471,497,Cedar ,Boone,'BR LIT BONNE FEMME,'WOODIE PROCTOR RD,'S 22 T 47 N R 13 W,1982,2000,2.5,9.2,Prestressed concrete*,Tee Beam,,"Local, Rural",298045
24481,498,Cedar ,Boone,'LIT BONNE FEMME CR,'SMITH HATCHERY RD,'S 33 T 47 N R 13 W,1981,2000,4.9,9.1,Prestressed concrete*,Tee Beam,,"Local, Rural",298055
24493,,Centralia ,Boone,'SILVER FORK CR,'JAY JAY RD,'S 29 T 51 N R 11 W,1955,2000,3.4,5.56,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",298066
24503,,Rocky Fork ,Boone,'SILVER FORK CR,'OLD HWY 124,'S 9 T 50 N R 11 W,1950,2000,0.7,6.2,Concrete,Culvert (includes frame culverts),,"Local, Rural",298077
24505,501,Cedar ,Boone,'LIT BONNE FEMME CR,'HILL CREEK RD,'S 11 T 47 N R 13 W,1970,2000,1.4,5.84,Concrete,Tee Beam,,"Local, Rural",298079
24511,,Perche ,Boone,'SILVER FORK CR,'OLD HWY 63,'S 13 T 50 N R 13 W,1925,2000,5.5,4.28,Concrete,Tee Beam,Structurally Deficient,"Local, Rural",298085
